Sample ID,mass,N,C
c1,8.249,0.004395652,4.594804
c2,10.242,0,5.558219
c3,10.995,0,6.384916
c4,8.855,0,6.323153
c5,8.709,0,6.943139
c6,11.22,0.0376958,6.259845
c7,8.695,0.03465016,6.360912
c8,10.834,0.01122486,6.243187
c9,11.635,0.009672658,7.26862
c10,11.429,0,6.398819
c11,14.967,0,2.161358
c12,9.876,0,2.841322
d1,X,0,4.131905
d2,8.331,0,4.045234
d3,11.2,0,3.539724
d4,12.225,0,3.578582
d5,9.345,0,4.380167
d6,X,0,4.803036
d7,8.484,0,3.288118
d8,10.641,0,3.508107
d9,9.066,0,3.902441
d10,11.578,0,3.810971
d11,10.917,0,1.750799
d12,12.938,0.002408043,2.526006
e1,12.535,0,3.45535
e2,9.266,0,3.197953
e3,9.69,0,1.759426
e4,11.451,0.07123442,2.716019
e5,10.157,0,2.745966
e6,9.928,0,3.334041
e7,13.382,0,1.107181
e8,10.268,0,0.8065129
e9,13.929,0,1.517557
e10,8.837,0,1.627815
e11,10.24,0,1.92051
e12,11.612,0,1.872165
f1,9.53,0,1.957141
f2,11.087,0,1.061393
f3,10.691,0,1.205728
f4,9.035,0,1.175673
f5,10.703,0.01325921,2.572909
f6,11.022,0.05552863,3.049633
f7,12.802,0.01598048,2.120129
f8,9.609,0.004844,2.471087
f9,14.231,0.02852986,1.892708
f10,9.68,0.04221069,2.964438
f11,10.91,0,2.218686
f12,9.011,0.001084122,2.334607
g1,10.394,0.05396121,2.896909
g2,13.007,0.00751493,1.919397
